id,text_nps
105,naprosta spokojenost s mobilni bankou
106,Poplatek za vedení účtu
107,Když jsem něco potřebovala
108,Málo bankomatů
109,Jsem spokojen se svým bankovním poradcem je to paní Svobodová
110,Prostě jsem spokojený. nemám co bych vytkl.
111,V současné době je vše v pořádku
112,za celé roky jsem neměla žádný problém s účtem
113,Hodnocení odpovídá mému cítění. Nemám ráda extrémy a 9 z 10 je pro mě osobně natolik dobré hodnocení
114,"Kdykoiliv jsem potřeboval poradit na př. v inter.bankovnictví,vždy jsem dostal kvalitní informaci(můj poradce L.Beranová). Také se mi líbí úprava pracovišť jednotlivých pracovníků(více soukromí). Ale i celkové prostředí v humpolecké pobočce je příjemné. Informace podávané přes internet jsou prima(ochrana a bezpečnost při int.bankovnictví).Zkrátka vše je pro mne OK. Díky a ať se daří v novém roce a hodně spokojených klientů! S pozdravem M.Uzel"
115,Spolehlivost
116,super service!
117,Vaším klientem jsme od roku 1998. To asi hovoří za vše. Děkuji a všem zaměstnancům přeji krásný a úspěšný rok 2020!
118,Jsem velmi spokojeny s naši bankou ve Vysokem Myte
119,Vcelku spokojen 
120,Neprofesionální přístup.Reklamace v řešení 3 měsíce. Nikdo nekomunikuje.
121,Jsem s KB spokojená. 
122,Na poplatky to není zrovna ideál. 
123,Vadi mi ze zamestnanci a to i reditelka banky nevi o svych produktech
124,Jsem velice spokojený.
125,Vzdycky se dá zlepšovat 
126,So službami banky ako takej som veľmi spokojný
127,Já jsem celkem spokojena se službami
128,Neustale otravovani Vasich pracovniku na domlouvani schuzek a nabizeni otravnych produktu
129,zatím jsem neměla problém.
130,poplatky
131,Negativní jsou poplatky za vedení účtů a za výběr hotovosti
132,Caste zmeny
133,Vysoké poplatky
134,výborné služby
135,Ochotný a vstřícný přístup
136,K plné desítce chybí několik drobností - m.j. např. že je zpoplatněn i vnitrobankovní převod mezi dvěma účty KB a pod.
137,internetové bankovnictví
138,Vyhovuje mi ve vsech smerech. Online i mobilni bankong
139,Jsem naprosto spokojen s přístupem
140,Celková spokojenost se službami.
141,"Dobrý den, na KB mě mrzí jedna věc a to je komunikace poradce vs. klient. Kdykoliv jsem něco potřeboval, tak jsem se pomocí nedočkal. Ale abych jenom nekritizoval, tak musím pochválit Vaše nové prostředí v internetovém bankovnictví. Děkuji a přeji vše nej v roce 2020. Lukáš Fešar   "
142,s komercni bankou jsem velice spokojena
143,Neustálá výměna poradců
144,Poplatky za výběr  z jiných bank.
145,Mám ke KB osobní vztah
146,Osobně nemám žádnou negativní zkušenost
147,Poplatky za výběr z jiného bankomatu. Oznámení o připsání finanční částky na účet je časově nespolehlivé. To je problém aplikace. 
148,Nabízení úvěru bydlení jedny z nejhorších podmínek pro stávající klienty 
149,Vždy a ochotně mu paní Hrabáková v Č.K. vyšla vstříc. Je to paní na pravém místě 
150,velký poplatky
151,Poplatky za vedení účtu a nepřehledné int. bankovnictví.
152,Díky svým poradkyním(už druhá žena na svém místě).
153,dlouhá spolupráce
154,Jsem téměř 100 % spokojený
155,Pobočka v Hluku - maximálně ochotní pracovníci. A věřím
156,"Hlavně nesmyslné poplatky. V zahraničí mám stále účet a ikdyz nic neposílám, nic neplatím. S mými příjmy, vůbec nechápu, že to u vás tak funguje. Další věc je opravdu zbytečně velká birokracie. "
157,Veliká spokojenost. Osobní přístup.
158,Profesionální služby
159,Jsem zcela spokojen. Jak s přístupem při osobním jednání
160,Zavolám své poradkyní a schůzka a vše v brzké době vyřešené 
161,Vždy je co zlepšit.
162,Pokud jsem něco potřeboval
163,Vadí mi zrušení pobočky na Lesne.
164,Při každém kontaktu mi pracovníci KB ochotně vyšli vstříc.
165,Vstřícný přístup
166,Skvělé jednání
167,Vse ok
168,Přístup ke klientům . 
169,pROTOŽE JSEM SI UUBALIL JOINTA A MÁM DNES DOBROU NÁLADU A CHUT ROZDÁVAT RADOST 
170,Nemám internetové bankovnictví a cítím se diskriminována = šílené poplatky za jednorázový příkaz k platbě atp. 
171,Skvělá spolupráce ????
172,Jsem spokojená ze vším
173,Ne moc přesná reklama?
174,"Poněkud mně vadí při platbách z účtu přes internetové bankovnictví dvojité zadávání zaslaných sms kódů při platbách malých částek. Nestálo by za to zavést tento ,dubl, až od výše např. 1000Kč ?"
175,Musím platit poplatek za vedení účtu což je v dnešní době směšné.
176,Na základě mých mnohaletých osobních zkušeností.
177,strháváte peníze z účtu za kde co. Za podívání se v bankomatu na zůstatek
178,Profesionální přístup
179,Ve Valašském Meziříčí beru jako hlavní výhodu vkladomat bankovek. Dále musím říct
180,spokojenost s lidmi v bance
181,Jsem velmi spokojena s informovaností
182,I have account in dejvicka branch. Staffs are very helpful and good
183,Nemám žádných připomínek ke spolupráci
184,Foguch
185,Spokojenost jak na pobočce
186,Když jsem poprvé za 30 let potřebovala vyřízení lady karty
187,#NÁZEV?
188,Je to složité 
189,Časté vypadky v internetovém bankovnictví. Při vypadcích nefungovala ani karta. 
190,slozite jednani
191,Jsem velmi spokojená a proto
192,jsem velmi spokojen s přístupem a jednáním paní ředitelky
193,Hodnotím KB velmi pozitivně 8 body. Vyšší počet bodů by mohl vést banku ke ztrátě motivace zlepšovat služb
194,Některá uživatelská nastavení nejsou možná. Například výpis účtu je až v půlce měsíce. 
195,Nelíbilo se mi jednání před skončením fixace u Hypotéky. Letos při konci fixace budu odcházet s celým účtem.
196,Privatizovala jsem KB
197,Jsem spokojená
198,Vyhovuje mně možnost složit finanční prostředky na účet prostřednictvím bankomatu
199,Super bankovní poradce. Děkuji za p. Spitalskou. 
200,spolehlivost
201,Komunikace je strašná...
202,Ne vždy jsem byla spokojená? jestli by se to takto dalo nazvat. 
203,veškeré služby co využívám mi vyhovují i když se někdy objeví zádrhel
204,Zrušení pobočky v Konici nám komplikuje dostupnost služeb. Poplatky za vedení účtu. 
205,Zatím jsem se službami velmi spokojen. Se vším co jsem potřeboval
206,Jsem spokojený. 
207,Prijemnost
208,Operatívní
209,kdykoliv jsem něco potřebovala
210,Třeba nemáte spoření pro děti.
211,nedostal sem hypoteku tak sem si ji musel vzit u sberbanky vypis dostavam na dvakrat -140 a pak + 140 
212,Poplatky za vedení účtu
213,Chybí proaktivní přístup ke klientům. Příliš velká a zkostnatělá banka. Málo inovací.
214,příjemná atmosfera a zaměstnanci
215,Omyl
216,Dobrá zkušenost v případě nesnází
217,jsem spokojená s prací svého bankov.poradce
218,vylepšil bych komunikaci ve smyslu když mi končí balíček (na typ účtu) tak mi nebylo předem ohlášeno ani nabídnuto jiné řešení
219,Nemám důvod nedoporučovat
220,S KB nemám problémy
221,Protože mám zdarma vedení účtu ...
222,Dostupnost pobočky a rychlost v jednání.
223,Jsem spokojená
224,Zkostnatělá
225,Jsem spokojen jak se službami jako takovými (rozsah i kvalita
226,Fondy jsou nevýnosné
227,V konkurenci ostatních bank je co zlepšovat.
228,Jsem spokojený
229,Jste nejlepší
230,Při strhavani plateb od některých obchodníků dochází k tomu
231,"Jednoduchý a zabezpečený přístup na internetbanking, přehledný, v případě potřeby zde uvedený možný kontakt na bankovního poradce (již jsem využil); nízké úrokové sazby u hypotéky, vstřícnost bankéřů na pobočce v Brně na Nám. Svobody a s tím spojené maximální informace k mým požadavkům bez nutnosti uzavírat jakoukoli smlouvu, minimální množství telefonátů z banky (v minulosti jsem měl mBanku, která mne kontaktovala opakovaně, pořád se stejnou nabídkou, operátoři byli až nepříjemní). "
232,Některé novinky například na internetovém bankovnictví mně nevyhovují. Vadí mi zadávání SMS kódu při přihlášení a ne až při platbě. 
233,Posílání peněz trvá dlouho 
234,Bankovní služby mi případnou zkamenělé
235,Velmi casto se mi meni bankovni poradce. 
236,Nevyhodne podminky pri zrizovani a prejednavani hypotecniho uveru
237,vstřícný a aktivní personál.
238,Strháváte mi poplatky každý měsíc
239,Se službami bankovního poradce jsem spokojená.
240,Kokplikovana komunikácia
241,V KB mám účet již od svého prvního zaměstnání ( tehdy ještě SBČS)  a jako bývalý zaměstnanec nedám na KB dopustit. Vždy mi vyšla vstříc. I moje děti a vnoučata mají u Vás účty. Vřele ji dopuručuji všem svým známým. Přeji pohodový rok 2020.
242,"Velmi slabé zhodnocení na spořících účtech. Byla mně nabídnuta služba zlaté karty (mám dlouhodobě měsíční příjem nad 50 tis. Kč na běžný účet) na tři roky. Po uplynutí doby tří let mně karta zrušena nebyla, ale bylo mně bez mého souhlasu naúčtováno 1995,- Kč za rok. Tento přístup ke stálému klientovi považuji za netaktní. Utvrzuje mě to v přesvědčení, že poskytnuté 'výhody' KB klientovi jsou pouze dočasné a v případě jejich přetrvání se stávají jednostrannou výhodou pro KB - podivná obchodní strategie. Služby bankovního poradce jsou prakticky neviditelné a kontaktují mě jeho tkzv. asistenti jeho jménem, kteří mně vnucují zcela nevýhodné půjčky nebo služby.  Dobře hodnotím na KB mobilní bankovnictví, které jde s dobou a je operativní.  "
243,Výplata mi chodila s jednodenním spozdenim
