id,text_nps
440,Dlouhodobe zcela neuspokojiva uroven bankovnich poradcu. Jejich jedinym ukolem je vnucovat produkty a klienta co nejvice oskubat. Opravdu naprosto posledni “dobrou radou” bylo uzavrit na dalsi obdobi hypoteky s “vyhodnym” urokem 3%. S touto bankou koncim nejdrive
441,Trhnete si nohou. A neotravujte. 
442,Vždy je co zlepšovat!!!!
443,Jsem velmi spokojená se službami KB a hlavně se vstřícností
444,Takřka nikdy mi nepomohla
445,Jsem spokojen z tímhle bankem.Zatim.
446,Vysoké poplatky za platbu kartou
447,Důvody: služby fungují bez problému (např. internetové bankovnictví)
448,Jsem dlouhodobým klientem a nevidím
449,Na pobočce mi nevyhovuje systém čekání
450,Protože proto 
451,JSEM SPOKOJEN S PŘÍSTUPEM
452,Profesionalnosc
453,Koncici fixace - refinancovali jsme hypoteku. Zamestnanci nebyli schopni po telefonu nebo e-mailem sdelit
454,seriózní jednáni
455,Spokojenost 
456,Jste seriózní
457,velice nizka urokova sazba
458,ochota
459,rychlost
460,Zkostnately systém
461,Naprostá spokojenost se službami. Vstřícnost a profesionslita bankovní poradkyně. 
462,Spokojenost se službami  Perfektní komunikace s bankovním poradcem 
463,Vše je ze strany banky ke klientům tak
464,"Nesmyslné poplatky, některé jsou po splnění podmínek vráceny, což je ještě prezentováno jako benefit (odchozí platba, vedení účtu).  Neférová prezentace povoleného debetu, kde se o úroku z dlužné částky nemluví (dokud jsem se přímo nezeptal, vypadalo to, že při splacení dluhu včas 'nic neplatím', tedy ani úrok).  Podivné praktiky s kartami umožňujícími přečerpání na stejném terminálu, kde jiné banky přečerpání nepovolí (otestováno osobně pár sekund po sobě). Na helpdesku mi tvrdili, že to je jistě terminálem v režimu offline a nikoliv KB, což je průkazná lež.  E-maily s upozorněním na zůstatek, které prezentují účetní místo použitelného zůstatku, takže jsou na hlídání přečerpání nepoužitelné.  Při předsjednávání pokračování s hypotékou jsem dostal horší úrok, ačkoliv situace na trhu i úrok pro nové hypotéky byl lepší, bohužel jsem neměl po ruce srovnávač.  Nulové úroky na běžném účtu.  Upřímně - prostředky u Vás nemám (jen nejnutnější pro splnění podmínek) a moc se těším na splacení hypotéky, až od Vás odejdu."
465,Komerční banka mi naprosto vyhovuje - jak se soukromým účtem
466,KB je dobra banka kterou bych neměnil 
467,Hodnocení jsem dala z důvodu
468,Spokojenost
469,poplatky za úkony
470,Díky jednání ředitelky pobočky KB Mladá Boleslav - Palackého paní Mgr. Kolářové a práci pana Jakuba Novotného. Profesionálové na 150%
471,Jsem spokojená se službami KB a s jejími pracovníky v Holešově. Jsou ochotní a vždy poradí.
472,O služby které jsem potřeboval my vždy bylo vyhověno k mé spokojenosti a proto hodnotím takto
473,Spokojenost s aplikací Mobilní Banka a internetovým bankovnictvím. Je to velmi uživatelsky přívětivé. Dále jsem velmi spokojena s personálem na pobočce KB i s dostupností bankomatů. Výhody studentského účtu jsou též skvělé.
474,Aplikace
475,Vše je v pořádku
476,Jsem spokojený se službami KB. Hodnotil jsem 9
477,Vždy mi dokáží poradit a pomoci.
478,Někdy se nedostanu na stránky a na účet.
479,Vadí mi vysoké poplatky za různé služby a chybí mi vyšší flexibilita.
480,je to nejlepší... 
481,Jsem spokojená se službami 
482,Dneska je tezke urcit ktera banka je lepsi nez ta druha
483,Zastarale celkove
484,Z důvodu nedostatečně proškoleného personálu. Při mé poslední konsolidaci půjčky a podpisu nového úvěru mě váš kolega uvedl v omyl (z neznalosti produktu patrně)
485,Vždy profesionální a velice vstřícní.
486,jsem spokojený
487,Pro práci mého bývalého osobního bankéře p.Dudy 
488,Rychlost
489,Poslední dobou hodnotím KB spíše bankou pro firmy. Než pro soukromé osoby. Chybí nějaké inovace 
490,Je spolehlivá a za rozumnou cenu
491,drahé výběry u přepážky
492,V průběhu letošního roku došlo k desítkám dnů
493,Spolehlivost KB
494,Nikdy jsem neměla sebemenší problém
495,KB mě nezklamala
496,Služby na velmi dobré úrovni
497,1. Bezplatne vedeni studentskeho uctu 2. Dostupnost bankomatu 3. Podpora Apple Pay 
498,Moje bankovní poradkyně Jana Jakešová je vždy velmi nápomocná a hlavně velice milá.
499,"- Nízké (téměř žádné) úroky na běžném spořícím účtu, nutnost mít v PC povolené cookies pro třetí strany kvůli přihlášení do IB, nízký počet nearchivovaných výpisů přístupných volně bez vyžádání, poplatky (balíček, SMSky). + Možnost bankovní úschovy - což je jednorázová záležitost, proto tento klad v celkovém hodnocení nevyváží záporné charakteristiky."
500,Sto procentní služby nemáte
