id,text_nps,
129,V bance mám několik účtů již velkou spoustu let vždy mě banka vyšla vstříc a nikdy jsem nemusel řešit žádný problém.. ,
130,jsem celkem spokojena s Vaší bankou ,
131,Nevím proč rušíte pobočky,
132,Mám s KB jen dobré zkušenosti ale myslím že by se ještě něco dalo vylepšovat !,
133,Zpožděné zůstatky na účtu při výběrech ,
134,spokojenost,
135,S bankou jsem spokojen,
136,KB je nejstabilnější na trhu,
137,málo vstřícný přístup ke klientům,
138,Dlouholetá spokojenost ,
139,Kvalitni sluzby pro klienty - uzivatelsky pristupne internetove bankovnictvi,
140,Je to banka,
141,k dosažení 10 brání menší pružnost a nadměrná administrativa,
142,I když jsem odhlasila zasílání info,
143,kvalitní služby,
144,Mám nejlepší zkušenosti s p. Uršulou Matoušovou,
145,"Roky jsem u KB a všechny platby  jdou přes váš účet. V době svého podnikání jsem zažil různá období , ať špatná či velmi dobrá. Určitě do historie můžete nahlídnout a sami se přesvědčit. Před nedávném jsem požádal vaši / moji banku o malou půjčku cca o 250 tisíc Kč a nestačil jsem se divit. Přesto že pravidelně splácím vaši dceřiné společnosti ESSOX,  úvěr na auto Škoda Karoq. Nebudu jmenovat, ale s politováním musím konstatovat, že mi jsou ochotny půjčit jiné banky a to minimálně ve třech případech. Zatím jsem jejich nabídku nevyužil, ale jsem odhodlán si v novém roce vybrat a tím ukončit vaše služby spojené s vámi. Myslím, že by jste se mým rozhořčením určitě měli aspoň vnitřně zabývat a snad i svému klientovi tak dát možnost změnit názor. Zatím tak nevidím sebe menší doporučení, jak jsem uvedl.   S pozdravem ILLík Jiří   ",
146,"Nyní už mám internet banking,ale když jsem ještě neměla ,tak má KB velmi drahé jednorázové příkazy na přepážce.  20 let (a více) mám KB,a nechci ani počítat,jak drahé poplatky  jsem již zaplatila.Nerada měním, cokoliv, takže u KB sem a budu, a velké dík  patří mé úžasné poradkyni p.Darje Štěrbové,která vždy ochotně poradila,a i mi nastavila mobilní banku.",
147,Protože jsem spokojená,
148,Celkem spokojená,
149,Perfektní přístup,
150,doposiaľ mi vždy vyšli v ústrety s mojimi požiadavkami,
151,Žádné úroky. Vysoké poplatky. ,
152,Poplatky za příchozí platby mi přijdou hodně ujeté za přijetí 587.12€ si vezměte 5.68€  každý měsíc za rok 68.16€ výběr v hotovosti je 1.53€ ,
153,Jsem klientem KB již více jak 25 let. Se službami KB a přístupem odborných poradců a zaměstnanců jsem spokojen.,
154,profesionální přístup,
155,je pořád co zlepšovat,
156,Veškerá komunikace probíhala k mé dokonalé spokojenosti,
157,"Před koncem roku jsem si udělala KB klíč, který měl zjednodušit přístup k internetovému bankovnictví. Bohužel s tímto produktem nejsem spokojená. Zdá se mi to složitější, pokud zadávám více příkazů najednou, musím potvrzovat stále dokola. Pro mne bylo jednodušší bankovnictví přes certifikát, kde stačilo se přihlásit a jen jednou zadat  heslo a pak už další platby proběhly bez dalšího zdlouhavého potvrzování.",
158,Jsem moc spokojena se službami,
159,Je ještě dosti služeb,
160,Vše funguje,
161,Nemám žédné problémy.vždy mě vyhoví a poradí.jsou velice slušní a úslužní.  Svoboda.,
162,je neosobní,
163,jsem   s ni spokojen protoze to všechno de rychle a v pořadku,
164,nenabízíte nic neobvyklého,
165,Přehled ,
166,K desítce chybí jen placené výběry z ostatních bankomatů :-),
167,spokojenost,
168,V roce 2019 byla situace kdy 'prava ruka nevedela co dela leva',
169,Přijde mi férová,
170,vyhovuje mi,
171,když si nevím rady,
172,S KB jsem již dlouho a jsem s ní maximálně spokojená,
173,S Vaší bankou jsem spokojen,
174,Měli jsme s KB opravdu hodně špatnou zkušenost. Při sjednávání hypotéky nás zaměstnanec napálil,
175,Nebyl s ni nikdy problém,
176,"Jednoduchá odpověď: 1) Se službami, které já využívám jsem spokojený   2) Ale neznám všechny produkty KB - proto číslo 8 ",
177,Pokud nastal nějaký problém ihned byla vstřícnost a ochota,
178,Naprosta spokojenost,
179,Všechno,
180,1) Nižší rychlost zpracování žádostí. 2) Proč mám kvůli úvěru chodit na pobočku 3) Nižší síť bankomatů KB - jsem ze Stráže pod Ralskem,
181,Slozity i-banking,
182,spokojenost,
183,velmi milé vystupování ,
184,Banka neustále zkvalitňuje nabídku služeb,
185,Nejsem spokojena se systémem,
186,Profesionální přístup všech zaměstnanců KB v Rychnově n.Kněžnou.,
187,drahé služby,
188,Komerční banku hodnotím velmi kladně,
189,Jsem spokojená se službami.,
190,Přístup v kamenné pobočce ,
191,Spokojnosť so službami ,
192,Nevzpomínám si poslední roky,
193,Jsme velice spokojen.,
194,Elektronická forma OK,
195,jsem velmi spokojena,
196,nefunguje nebo je pomalé neustále dojíždět pouze do jedné pobočky  td.,
197,"rychlost, ochota  a příjemnost  ",
198,Spokojenost téměř se vším.  Děkuji.,
